Position,Waitlist ID,SR #,Instructions,data_as_of,data_loaded_at
1,07281969RM,101000846589,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
2,02221976DJ,101000864406,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
3,12101971PS,101000862733,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
4,08091950SK,101000872576,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
5,08281964FH,101000870774,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
6,03051991MK,101000872254,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
7,12251990TL,101000876915,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
8,07161964VG,101000877356,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
9,03081968SJ,101000879721,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
10,06091959NR,101000882383,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
11,07302002LG,101000883903,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
12,11211985AK,101000883472,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
13,10181956RS,101000881932,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
14,07021979DM,101000884578,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
15,08301960BP,101000888899,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
16,12031973YC,101000886394,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
17,09141977ML,101000896373,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
18,11201995JL,101000895174,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
19,09111958CY,101000899222,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
20,120112011997QB,101000899256,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
21,07291975MR,101000898442,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
22,11011955MT,101000894923,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
23,09101974RL,101000903371,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
24,01111975NS,101000904787,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
25,12231990AO,101000900966,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
26,05201975DG,101000903788,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
27,04181961LD,101000900834,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
28,08181966MM,101000901866,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
29,05031975SK,101000904884,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
30,01311997CD,101000901980,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
31,07281990EW,101000902507,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
32,09061972RH,101000900972,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
33,04072003MT,101000902298,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
34,09251966DT,101000901440,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
35,05011975RD,101000901617,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
36,09181983JM,101000910310,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
37,11261988DU,101000908906,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
38,05291980RB,101000909290,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
39,01091990TP,101000909223,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
40,120212021969BM,101000906913,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
41,06161971JW,101000909672,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
42,08301990DM,101000907579,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
43,12191993VG,101000909669,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
44,10171979AH,101000909749,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
45,03081973HW,101000907611,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
46,06041953CN,101000906754,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
47,09281966AG,101000907659,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
48,05071958RD,101000909020,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
49,03021975EJ,101000910716,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
50,04021972TT,101000909271,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
51,04241990MM,101000909243,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
52,09131981ES,101000908229,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
53,06181980GH,101000908390,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
54,02241986CH,101000907346,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
55,06191987AJ,101000908853,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
56,09081986JD,101000906273,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
57,02271984BT,101000905421,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
58,07261991CG,101000911890,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
59,08211989IW,101000913122,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
60,01071959AC,101000911929,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
61,05292000AT,101000915392,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
62,03041995DJ,101000914244,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
63,01191982JD,101000915537,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
64,01261964GS,101000914851,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
65,07021961CJ,101000914515,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
66,06021977CR,101000913116,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
67,05301996GR,101000915995,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
68,06051986IW,101000915211,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
69,01261994JL,101000911410,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
70,06121965RP,101000914479,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
71,02251987GP,101000914744,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
72,04131990JW,101000912543,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
73,03071989AT,101000912284,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
74,10161972AP,101000916571,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
75,02051972FL,101000913549,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
76,06301971KO,101000914233,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
77,03131957LW,101000914024,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
78,04241989JT,101000912548,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
79,04301969RG,101000912552,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
80,02111982LD,101000914076,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
81,11011980EY,101000915229,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
82,02271965AW,101000921222,,2024/10/31 09:25:00 AM,2024/10/31 09:48:45 AM
