Position,Waitlist ID,SR #,Instructions,data_as_of,data_loaded_at
1,12251965LF,101000543308,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
2,11101981BB,101000542143,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
3,03241966EB,101000541363,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
4,07191967KM,101000547892,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
5,09201990EJ,101000549991,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
6,11281971LO,101000547392,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
7,05281970LH,101000548213,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
8,10131981JV,101000552362,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
9,07301959GS,101000554419,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
10,02081982SM,101000564571,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
11,05262003EC,101000560758,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
12,12091989RB,101000562682,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
13,02021989YR,101000560564,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
14,10131971TB,101000560012,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
15,11271952LT,101000565392,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
16,11081986DJ,101000563054,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
17,10221969DM,101000561594,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
18,03291968CR,101000561494,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
19,01031986TS,101000562987,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
20,07161964VG,101000560879,,2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
21,11201995JL,101000564068,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
22,10081977JG,101000561248,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
23,10091984CC,101000566032,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
24,09081973LJ,101000568402,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
25,05231996EL,101000567912,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
26,07101987TW,101000569667,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
27,09081998KM,101000568360,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
28,07011973SH,101000570035,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
29,09201976MO,101000569683,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
30,11181975IC,101000573538,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
31,04241990CT,101000573085,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
32,08141961ES,101000574801,,2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
33,08121956NG,101000572816,,2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
34,12301974JP,101000573368,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
35,0823462690427LR,101000574644,,2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
36,06291969EJ,101000573484,,2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
37,12301986MB,101000573502,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
38,10261970SC,101000575447,,2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
39,11211983A,101000578342,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
40,0425255257279RR,101000578800,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
41,10181956RS,101000579012,,2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
42,03301968AV,101000581003,,2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
43,10061968KW,101000580389,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
44,05091988FP,101000580747,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
45,12291968ZS,101000580505,,2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
46,04211979MD,101000578838,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
47,02091983MR,101000579111,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/08/29 09:25:00 AM,2024/08/29 09:48:33 AM
