Position,Waitlist ID,SR #,Instructions
1,07031977AB,18001893,
2,06211967RC,18118951,
3,12071975RS,18154663,
4,01011972MD,18163056,
5,07051963GA,18178442,
6,03161955JF,18190075,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
7,01311946DN,18251756,
8,07132003MM,18257219,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
9,10041985DV,18256738,
10,02081998MG,18270671,
11,08121990DM,18276597,
12,11111984GD,18279916,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
13,04021967SF,18283544,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
14,07091948MW,18284141,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
15,09281995GD,18285415,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
16,07161996EM,18286229,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
17,09091998DR,18286001,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
18,04242004PT,18288649,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
19,03291997SK,18290012,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
20,08312001AS,18290018,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
21,01161997DS,18292536,
22,10012001MC,18294701,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
23,08171985KH,18297267,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
24,08281948HS,18294550,
25,07201983JC,18293680,
26,12152001RA,18296908,
27,07231954CG,18296938,
28,09041991RG,18293975,
29,08171985KM,18297275,
30,11141966RE,18294668,
31,08271964CC,18294499,
32,09281992AM,18293361,
