Position,Waitlist ID,SR #,Instructions,data_as_of,data_loaded_at
1,06061965FR,101001057782,,2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
2,072319464CS,101001072956,,2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
3,08291962SW,101001079820,,2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
4,08141952LG,101001083022,,2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
5,07281969RM,101001101331,,2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
6,11271952LT,101001110293,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
7,07082003KJ,101001110946,,2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
8,09071986KH,101001110150,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
9,11271952MW,101001110286,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
10,01111984DS,101001115086,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
11,09121956SV,101001113731,,2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
12,06041991VN,101001116486,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
13,10052003EL,101001114099,,2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
14,01221978CG,101001114260,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
15,04231977ML,101001114093,,2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
16,05201990KP,101001113701,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
17,03031975AA,101001121437,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
18,06191985CG,101001119572,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
19,09281989SH,101001123309,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
20,08061966GP,101001118320,,2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
21,06151979SZ,101001121976,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
22,03132004YW,101001118391,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
23,08301960BP,101001128386,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
24,07201995AR,101001126792,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
25,02211988MH,101001130278,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
26,09272005IT,101001132973,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
27,09051980KE,101001131490,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
28,10021996AR,101001136048,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
29,06201966JM,101001133271,,2024/12/29 09:25:00 AM,2024/12/30 08:56:06 AM
