Position,Waitlist ID,SR #,Instructions,data_as_of,data_loaded_at
1,10121985MV,101000618069,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
2,08251992LM,101000638035,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
3,01131985JP,101000638055,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
4,06271968TG,101000636128,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
5,03241966LC,101000641043,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
6,04291959KW,101000640474,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
7,09111992KE,101000641973,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
8,08191983EC,101000640581,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
9,06221976FM,101000642515,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
10,11201995JL,101000640104,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
11,04301969RG,101000641557,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
12,07061987MY,101000647523,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
13,06191986MY,101000647984,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
14,02131967RH,101000648599,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
15,06191986TR,101000649026,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
16,07221994AS,101000647732,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
17,02271985ET,101000646203,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
18,06181985GW,101000645677,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
19,07251991NH,101000648823,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
20,09211982SM,101000645567,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
21,08271973ER,101000647988,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
22,11261943JC,101000652279,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
23,06191969LF,101000655454,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
24,01281981LS,101000652052,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
25,01161994IR,101000654731,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
26,03271995GA,101000654475,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
27,05041987CJ,101000650634,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
28,12171973FG,101000652958,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
29,08171979SC,101000653645,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
30,02141994MV,101000662052,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
31,02131965RG,101000658415,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
32,08111963JB,101000659789,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
33,08281964FH,101000659145,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
34,07021994ED,101000659590,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
35,03201958RS,101000664925,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
36,09251978LC,101000663744,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
37,10091984CC,101000668388,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
38,03072004GG,101000668864,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
39,10101966JM,101000670061,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
40,02092000DJ,101000674652,,2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
41,10111996TH,101000674618,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/18 09:25:00 AM,2024/09/18 09:48:25 AM
