Position,Waitlist ID,SR #,Instructions,data_as_of,data_loaded_at
1,09211982SM,101000645567,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
2,08271973ER,101000647988,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
3,06191969LF,101000655454,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
4,01281981LS,101000652052,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
5,03271995GA,101000654475,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
6,05041987CJ,101000650634,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
7,12171973FG,101000652958,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
8,08171979SC,101000653645,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
9,02131965RG,101000658415,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
10,08281964FH,101000659145,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
11,09251978LC,101000663744,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
12,10091984CC,101000668388,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
13,03072004GG,101000668864,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
14,02092000DJ,101000674652,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
15,07251983LM,101000669900,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
16,05051968AH,101000674549,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
17,11281977MP,101000675784,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
18,01231976BC,101000674871,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
19,08241956KN,101000672197,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
20,09181978SL,101000674580,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
21,01231956TL,101000671229,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
22,02061985KK,101000675762,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
23,01191995VR,101000670019,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
24,08021972MD,101000674788,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
25,07201968AM,101000679001,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
26,05241965RM,101000678307,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
27,11061970MB,101000678171,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
28,09261969BA,101000678841,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
29,03111994PM,101000678221,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
30,11141998AL,101000679425,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
31,10181966GA,101000678302,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
32,10041983LA,101000677149,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
33,07021979DN,101000677591,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
34,08221974UN,101000680612,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
35,05191979NN,101000680013,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
36,04251980MT,101000679874,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
37,03171973AG,101000678834,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
38,08011989ED,101000680600,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
39,10231972DA,101000677175,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
40,08161979FM,101000678322,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
41,06211984ZI,101000678034,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
42,11271970AS,101000679567,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
43,06181996SM,101000682978,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
44,07291975ER,101000685685,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
45,08301960BP,101000686288,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
46,10131973CB,101000684602,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
47,10221992FD,101000682960,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
48,01011988CF,101000681785,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
49,05231996EL,101000685719,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
50,04141946LW,101000685093,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
51,07281997KB,101000690654,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
52,09091998JG,101000690504,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
53,04221983TC,101000688924,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
54,07111968JH,101000690456,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
55,01061981SA,101000687283,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
56,12131964TW,101000688963,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
57,01281998AC,101000690781,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
58,12041968BR,101000690506,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
59,07021975JA,101000690888,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
60,12311972JH,101000693081,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
61,09091980SS,101000693285,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
62,11271972LG,101000695397,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
63,06171982TM,101000697895,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
64,09211994NN,101000693593,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
65,09281992MH,101000695758,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
66,03251997EM,101000696140,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
67,090109101974RL RL,101000694011,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
68,11251968DF,101000696661,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
69,06201989AS,101000696617,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
70,12191984TH,101000695412,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
71,051905191979nnNN,101000693016,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
72,01022001LN,101000697322,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
73,01142001JB,101000694466,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
74,12271989SA,101000701211,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
75,06111982RS,101000700381,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
76,10312001GL,101000699326,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
77,08101982LR,101000700303,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
78,06151992JJ,101000700127,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
79,05021969LP,101000698603,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
80,05051999DL,101000702004,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
81,12091992SK,101000702308,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
82,0621ZiZI,101000702263,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
83,08021963MW,101000705515,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
84,12311966MP,101000710716,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
85,05051991AB,101000707085,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
86,08282008JP,101000711324,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
87,09131982JH,101000709667,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
88,08131980HR,101000711545,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
89,05041989JA,101000708434,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
90,10181956MS,101000708131,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
91,08122005MD,101000710836,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
92,09101980SA,101000707048,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
93,06111994JM,101000706524,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
94,07311993SG,101000708339,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
95,02021987DH,101000707636,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
96,04161996MB,101000710196,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
97,06221960IV,101000708446,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
98,10281953PF,101000710581,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
99,02181969CC,101000710323,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
100,06151962MR,101000707181,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
101,01111981NO,101000708379,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
102,11051978PP,101000709046,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
103,08081998HR,101000714800,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
104,02021973MR,101000716368,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
105,07071954GM,101000716686,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
106,08071976MB,101000713507,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
107,05021959RT,101000716083,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
108,07181980CW,101000713212,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
109,07181956ML,101000715006,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
110,11021975TC,101000713955,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
111,11131979JC,101000716086,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
112,04071987CM,101000713938,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
113,09081972KA,101000716418,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
114,10201985JG,101000713998,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
115,05031990TJ,101000713929,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
116,05221985CP,101000714914,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
117,08181966MM,101000714340,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
118,07181959EH,101000722514,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
119,02181987TA,101000722279,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
120,12101986MM,101000719592,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
121,04161948KK,101000719966,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
122,07131991JD,101000720382,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
123,07221989CC,101000722557,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
124,07131980DP,101000722641,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
125,04231989ED,101000718684,,2024/09/24 09:25:00 AM,2024/09/24 09:48:16 AM
