Position,Waitlist ID,SR #,Instructions
1,07031977AB,18001893,
2,06211967RC,18118951,
3,12071975RS,18154663,
4,01011972MD,18163056,
5,07051963GA,18178442,
6,03161955JF,18190075,
7,07031957IP,18194636,
8,04171984AA,18228664,
9,02281981EP,18233034,
10,05141970WJ,18235489,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
11,07201973PH,18239591,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
12,10172004AK,18245112,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
13,04201960MV,18243709,
14,10021989CH,18242271,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
15,02191984DD,18245064,
16,06161988MC,18242339,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
17,12071988LO,18244558,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
18,07081993JR,18243537,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
19,03111966SS,18243153,
20,09041981WW,18244065,
21,06241973LS,18244440,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
22,06261987FZ,18249636,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
23,12151976SD,18247510,
24,08271999KM,18248941,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
25,09281995MB,18247136,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
26,11171992AU,18249594,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
27,12311997JG,18248513,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
28,02081998MG,18246173,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
