Position,Waitlist ID,SR #,Instructions,data_as_of,data_loaded_at
1,11051982FT,101001385183,,2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
2,01131960BL,101001384673,,2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
3,11272025EC,101001403071,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
4,11131986MO,101001407383,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
5,07291968RB,101001407947,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
6,09091954BS,101001407442,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
7,04062003MM,101001406680,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
8,08091990BC,101001409702,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
9,06011985MC,101001412923,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
10,01261976SP,101001414496,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
11,08161974JB,101001410411,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
12,042119987LM,101001408689,,2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
13,02231994AW,101001413261,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
14,03071988JR,101001410058,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
15,08251976XR,101001410394,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
16,11061970MB,101001410000,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
17,12031995KU,101001418210,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
18,05051987ON,101001418856,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
19,06081980SG,101001416000,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
20,06241969SA,101001417614,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
21,06151988MC,101001418343,,2025/03/07 09:25:00 AM,2025/03/07 09:47:39 AM
