Position,Waitlist ID,SR #,Instructions,data_as_of,data_loaded_at
1,04151970GM,101000241120,,2024/07/12 09:25:00 AM,2024/07/12 09:49:22 AM
2,03072005DM,101000247365,,2024/07/12 09:25:00 AM,2024/07/12 09:49:22 AM
3,03111966SS,101000243193,,2024/07/12 09:25:00 AM,2024/07/12 09:49:22 AM
4,02141994MC,101000244683,,2024/07/12 09:25:00 AM,2024/07/12 09:49:22 AM
5,09101974RL,101000246957,,2024/07/12 09:25:00 AM,2024/07/12 09:49:22 AM
6,07091948MW,101000260809,,2024/07/12 09:25:00 AM,2024/07/12 09:49:22 AM
7,06261997PO,101000287278,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/07/12 09:25:00 AM,2024/07/12 09:49:22 AM
8,11212003IT,101000287319,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/07/12 09:25:00 AM,2024/07/12 09:49:22 AM
9,02021975DJ,101000287874,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/07/12 09:25:00 AM,2024/07/12 09:49:22 AM
10,06171966SF,101000286292,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/07/12 09:25:00 AM,2024/07/12 09:49:22 AM
11,06211987DT,101000291783,,2024/07/12 09:25:00 AM,2024/07/12 09:49:22 AM
12,06151992JB,101000291196,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/07/12 09:25:00 AM,2024/07/12 09:49:22 AM
13,11021975TC,101000292940,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays).",2024/07/12 09:25:00 AM,2024/07/12 09:49:22 AM
14,06101986JY,101000289916,,2024/07/12 09:25:00 AM,2024/07/12 09:49:22 AM
15,07191993SM,101000291941,,2024/07/12 09:25:00 AM,2024/07/12 09:49:22 AM
16,04141956LH,101000293542,,2024/07/12 09:25:00 AM,2024/07/12 09:49:22 AM
17,09191992BW,101000289903,,2024/07/12 09:25:00 AM,2024/07/12 09:49:22 AM
