Position,Waitlist ID,SR #,Instructions
1,07031977AB,18001893,
2,04301969SG,18000264,
3,03171968CR,18116104,
4,06211967RC,18118951,
5,12071975RS,18154663,
6,12101971PS,18156719,
7,01011972MD,18163056,
8,07051963GA,18178442,
9,06272004MM,18177017,
10,03161955JF,18190075,
11,11151998JW,18194886,
12,07031957IP,18194636,
13,11261943JC,18196352,
14,07051967GM,18199179,
15,04281980GM,18197608,
16,11171956CJ,18198916,
17,05012025CF,18199686,
18,09281995MB,18202907,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
19,03251957JM,18203214,
20,05142001JP,18209436,
21,10091984CC,18210677,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
22,01111991RY,18213127,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
23,01181990ND,18212669,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
24,01231960CC,18218333,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
25,12291968ZS,18215768,
26,12111977BT,18218162,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
27,03111966SS,18218256,
28,03261966KL,18215751,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
29,07081978MS,18217759,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
30,04231983AQ,18217255,
31,02191984DG,18217241,
32,06271976DM,18218453,
33,05201975JG,18219398,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
34,04221993CK,18222349,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
35,03011997MG,18219530,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
36,03011987CS,18222680,
37,02251983KF,18221832,
38,01051964JI,18224691,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
39,07041989SW,18227383,
40,10201973HN,18226332,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
41,12101961MT,18224909,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
42,10231972DA,18224762,
43,01201958MP,18226452,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
44,03271970ME,18226525,
45,03061992MP,18225783,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
46,11111991EL,18224346,
47,07061983LR,18224134,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
48,08281997CH,18224668,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
49,08301960BP,18226791,
50,04111991FD,18223972,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
51,10101990ML,18224716,
52,01311965WB,18225353,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
53,09241949JE,18224642,
54,09031990MB,18224314,
55,03231995KM,18225971,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
56,04221987NA,18229267,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
57,12112001DE,18228030,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
58,02051999BM,18228123,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
59,01181990MJ,18230567,
60,05102000AH,18229538,
61,05091987SG,18230490,
62,05061943JS,18227805,
63,04171984AA,18228664,
64,08081972RL,18229998,
65,09192001JG,18228944,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
66,11141972LM,18228288,
67,12021997DR,18230408,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
68,04231968MS,18228734,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
69,01151980HH,18229551,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
70,09102000EM,18233401,
71,10171980JA,18233726,
72,06061988AP,18234566,
73,04271980EB,18233700,
74,10111996TH,18232014,
75,03071990CK,18234580,
76,03012003AN,18233551,
77,09081987DR,18231640,
78,01221993JA,18234126,
79,01181990MJ,18232435,
80,06121978AA,18233930,
81,03072005DM,18233939,
82,08201999TS,18234426,
83,01181990MJ,18232423,
84,02281981EP,18233034,
85,11101981BB,18234733,
86,01151963LG,18233835,
87,08241991PJ,18234256,
88,06111989AA,18234202,
89,08311988DR,18233816,
90,05111957RG,18234419,
91,12061988DR,18233658,
92,07041982DT,18232536,
93,01181990MJ,18235159,
94,10031991CM,18233618,
95,05141970WJ,18235489,
96,04301969SG,18232665,
97,04151968GW,18233170,
98,07132003MM,18233920,
99,08261959NN,18232711,
100,03021999RB,18233594,
101,08021971MT,18234336,
102,09081958SS,18238137,
103,09081958SS,18235749,
104,09241995HA,18238435,
105,08311983AA,18236027,
106,07201977JC,18236020,
107,09271985IN,18237671,
